  0.53	167279	167279	S	137698	                                          Rumex induratus
  6.62	2078186	4315	O	41946	                              Saxifragales
  3.67	1152373	2604	F	3792	                                Saxifragaceae
  3.05	956397	187115	G	3798	                                  Saxifraga
  0.83	259558	259558	S	1891283	                                    Saxifraga x geum
  0.66	207819	207819	S	159961	                                    Saxifraga fortunei
  0.40	125121	125121	S	83422	                                    Saxifraga maderensis
  0.20	62938	62938	S	29771	                                    Saxifraga oppositifolia
  0.19	60713	60713	S	83423	                                    Saxifraga portosanctana
  0.17	53133	53133	S	192742	                                    Saxifraga biflora
  0.62	193372	0	G	40792	                                  Lithophragma
  0.62	193372	193372	S	100316	                                    Lithophragma parviflorum
  1.52	476539	1872	F	3781	                                Crassulaceae
  0.91	284670	0	G	3784	                                  Sedum
  0.91	284670	284670	S	85264	                                    Sedum nudum
  0.61	189997	0	G	202994	                                  Rhodiola
  0.61	189997	189997	S	203015	                                    Rhodiola rosea
  1.42	444959	0	F	23066	                                Grossulariaceae
  1.42	444959	0	G	3801	                                  Ribes
  1.42	444959	444959	S	175228	                                    Ribes rubrum
 10.66	3344100	2997	O	41768	                        Ranunculales
  8.24	2586472	8438	F	3440	                          Ranunculaceae
  4.94	1548630	114008	F1	1463138	                            Ranunculoideae
  1.33	417089	0	F2	1463139	                              Adonideae
  1.33	417089	0	G	39245	                                Trollius
  1.33	417089	417089	S	212754	                                  Trollius europaeus
  1.05	330835	0	F2	1463144	                              Caltheae
  1.05	330835	0	G	3448	                                Caltha
  1.05	330835	330835	S	3449	                                  Caltha palustris
  0.87	273234	587	F2	1463147	                              Anemoneae
  0.60	188253	0	G	46977	                                Pulsatilla
  0.60	188253	188253	S	714493	                                  Pulsatilla chinensis
  0.27	84394	248	G	22868	                                Anemone
  0.17	54497	54497	S	1164855	                                  Anemone anemonoides
  0.09	29649	29649	S	174167	                                  Anemone obtusiloba
  0.79	248273	0	F2	1463140	                              Delphinieae
  0.79	248273	3996	G	46246	                                Delphinium
  0.63	197446	197446	S	984877	                                  Delphinium gracile
  0.10	31945	31945	S	136316	                                  Delphinium barbeyi
  0.05	14886	14886	S	136334	                                  Delphinium nuttallianum
  0.53	165191	0	F2	1463143	                              Cimicifugeae
  0.53	165191	0	G	46988	                                Actaea
  0.53	165191	165191	S	64034	                                  Actaea heracleifolia
  3.28	1029404	27641	F1	1463137	                            Thalictroideae
  2.30	721044	37833	G	46968	                              Thalictrum
  1.34	421043	421043	S	79802	                                Thalictrum tuberosum
  0.84	262168	262168	S	46969	                                Thalictrum thalictroides
  0.89	280719	0	G	3450	                              Aquilegia
  0.89	280719	280719	S	46965	                                Aquilegia ecalcarata
  1.94	608009	0	F	3465	                          Papaveraceae
  1.94	608009	0	F1	3462	                            Fumarioideae
  1.94	608009	0	G	3463	                              Corydalis
  1.94	608009	608009	S	2894902	                                Corydalis aitchisonii
  0.47	146622	0	F	41773	                          Berberidaceae
  0.47	146622	0	F1	1461175	                            Berberidoideae
  0.47	146622	0	G	22774	                              Berberis
  0.47	146622	146622	S	1433329	                                Berberis sibirica
  2.34	734831	125	C2	4447	                        Liliopsida
  2.03	636006	24568	C3	1437197	                          Petrosaviidae
  1.01	318364	246	O	4667	                            Liliales
  0.65	204739	17782	F	50362	                              Melanthiaceae
  0.31	98240	0	G	208974	                                Anticlea
  0.31	98240	98240	S	164833	                                  Anticlea elegans
  0.28	88717	0	G	50241	                                Veratrum
  0.28	88717	88717	S	72650	                                  Veratrum viride
  0.32	99010	0	F	41218	                              Colchicaceae
  0.32	99010	0	G	232719	                                Prosartes
  0.32	99010	99010	S	232720	                                  Prosartes smithii
  0.05	14369	0	F	4677	                              Liliaceae
  0.05	14369	0	G	49641	                                Erythronium
  0.05	14369	14369	S	202128	                                  Erythronium dens-canis
  0.93	293074	60	O	73496	                            Asparagales
  0.67	209463	0	F	4668	                              Amaryllidaceae
  0.67	209463	0	F1	40553	                                Allioideae
  0.67	209463	0	F2	703248	                                  Allieae
  0.67	209463	0	G	4678	                                    Allium
  0.67	209463	209463	S	2894820	                                      Allium stamineum
  0.27	83551	0	F	40552	                              Asparagaceae
  0.27	83551	0	F1	703537	                                Nolinoideae
  0.27	83551	0	G	16237	                                  Streptopus
  0.27	83551	83551	S	134860	                                    Streptopus amplexifolius
  0.31	98700	0	O	16360	                          Alismatales
  0.31	98700	0	F	16362	                            Potamogetonaceae
  0.31	98700	0	G	13228	                              Potamogeton
  0.31	98700	98700	S	384654	                                Potamogeton wrightii
  0.15	47174	0	D	2	    Bacteria
  0.15	47174	0	P	1224	      Proteobacteria
  0.15	47174	0	C	28211	        Alphaproteobacteria
  0.15	47174	0	O	356	          Hyphomicrobiales
  0.15	47174	0	F	335928	            Xanthobacteraceae
  0.15	47174	0	G	6	              Azorhizobium
  0.15	47174	47174	S	7	                Azorhizobium caulinodans
